symptoms,label,disease
i noticed mucus on gills not eating properly less active than usual it happens mostly at night,2,Bacterial gill disease
fish looks stressed fluffy fungus near wound what disease is this fins are clamped i noticed...,3,Fungal diseases Saprolegniasis
gasping at water surface mucus on gills hiding in corner new fish added recently flashing behavior other fish look normal,2,Bacterial gill disease
filter was off for few hours fish keeps scratching fish looks tired is it serious for 2 days breathing faster than normal...,5,Parasitic diseases
"today i saw skin looks reddish, damaged small blood marks on scales getting worse",0,Bacterial Red disease
it happens mostly at night color looks dull white mold on fins problem,3,Fungal diseases Saprolegniasis
tail turning white tank was cleaned yesterday problem is getting worse staying at bottom,6,Viral diseases White tail disease
not eating properly slow swimming please help fish showing gasping at water surface red wounds on belly oxygen level may be low,0,Bacterial Red disease
Scratching against rocks loss of appetite,5,Parasitic diseases
smooth scales swims fine most of the time one fish has...,4,Healthy Fish
today i saw fluid filled belly bloated abdomen slow swimming small blood marks on scales please help...?,1,Bacterial diseases - Aeromoniasis
pH may be unstable fish showing white coton like growth is it serious...,3,Fungal diseases Saprolegniasis
i noticed fish opens mouth repeatedly slow swimming red sores near fins is it serious,2,Bacterial gill disease
milky wite tail tail end looks dead less active than usual feed was changed recently is it serious,6,Viral diseases White tail disease
since yesterday normal appetite it happens mostly at night,4,Healthy Fish
today i saw fungal growth on skin mold like growth on tail breathing faster than normal red wounds on belly what disease this,3,Fungal diseases Saprolegniasis
one fish has rubbing body on tank wall tiny salt like dots started recently,5,Parasitic diseases
problem red wounds on belly bleeding marks on skin not eating properly fish looks stressed filter was off for few hours mucus on gills other fish look normal,0,Bacterial Red disease
loss of apetite other fish look normal new fish added recently fish looks stressed one fish has white cottn like growth white cottn like growth?,3,Fungal diseases Saprolegniasis
popeye getting worse in my aquarium popeye tail end looks dead,1,Bacterial diseases - Aeromoniasis
fish keeps scratching color looks dull?,5,Parasitic diseases
is it serious fish was moved to new tank i noticed breathing faster than normal body ulcers,1,Bacterial diseases - Aeromoniasis
in my aquarium popeye popeye color looks dull water smells bad it serious,1,Bacterial diseases - Aeromoniasis
active and eating well?,4,Healthy Fish
my fish has healthy fins swims fine most of the time please help,4,Healthy Fish
I noticed weak swimming with whit taill white discoloration on tail loss of appetite slow swimming water temperature changed only one fish affected,6,Viral diseases White tail disease
Fuzzy wite patches color looks dull,3,Fungal diseases Saprolegniasis
deep skin ulcers sometimes floating near surface,1,Bacterial diseases - Aeromoniasis
bloody red spots abnormal swimming,0,Bacterial Red disease
my fish white cotton like growth less active than usual weak movement weak swimming with white tail started recently,3,Fungal diseases Saprolegniasis
HIDING IN CORNER GETTING WORSE MY FISH HAS BLEEDING MARKS ON SKIN DOES NOT REACT MUCH,0,Bacterial Red disease
active and eating well i noticed,4,Healthy Fish
